date,value
01-01-2013,44186
01-02-2013,39939
01-03-2013,44185
01-04-2013,42762
01-05-2013,44285
01-06-2013,42965
01-07-2013,44074
01-08-2013,44504
01-09-2013,43116
01-10-2013,44707
01-11-2013,43465
01-12-2013,44984
01-01-2014,44993
01-02-2014,40364
01-03-2014,"44675,4"
01-04-2014,"43148,3"
01-05-2014,44573
01-06-2014,"43198,9"
01-07-2014,43968
01-08-2014,44585
01-09-2014,"43529,3"
01-10-2014,44999
01-11-2014,"43532,1"
01-12-2014,45088
01-01-2015,45071
01-02-2015,"40731,4"
01-03-2015,"45210,6"
01-04-2015,"43668,3"
01-05-2015,"45272,5"
01-06-2015,43878
01-07-2015,45085
01-08-2015,45242
01-09-2015,43960
01-10-2015,45597
01-11-2015,"44142,3"
01-12-2015,"45693,2"
01-01-2016,"46141,2"
01-02-2016,"43133,8"
01-03-2016,"46084,1"
01-04-2016,"44291,9"
01-05-2016,"45825,9"
01-06-2016,"44377,95"
01-07-2016,"45893,6"
01-08-2016,"45309,2"
01-09-2016,"45483,4"
01-10-2016,"47493,6"
01-11-2016,"45872,59"
01-12-2016,"47398,9"
01-01-2017,"46991,7"
01-02-2017,"42430,5"
01-03-2017,"46732,5"
01-04-2017,"45002,6"
01-05-2017,"46315,9"
01-06-2017,"44786,7"
01-07-2017,"46309,6"
01-08-2017,"46152,2"
01-09-2017,44640
01-10-2017,"46241,6"
01-11-2017,"44801,1"
01-12-2017,"46337,8"
01-01-2018,"46323,8"
01-02-2018,"41849,7"
01-03-2018,"46392,3"
01-04-2018,"44880,5"
01-05-2018,"46407,2"
01-06-2018,"45292,3"
01-07-2018,"47442,9"
01-08-2018,47429
01-09-2018,"46527,3"
01-10-2018,"48286,9"
01-11-2018,"46558,1"
01-12-2018,"48443,9"
01-01-2019,"48113,79"
01-02-2019,"43296,4"
01-03-2019,"47802,3"
01-04-2019,"45999,8"
01-05-2019,"46998,2"
01-06-2019,"45673,9"
01-07-2019,47174
01-08-2019,"47806,3"
01-09-2019,"46100,3"
01-10-2019,"47534,6"
01-11-2019,46073
01-12-2019,"47684,1"
01-01-2020,"47874,7"
01-02-2020,"44711,1"
01-03-2020,"47779,9"
01-04-2020,"46406,4"
01-05-2020,"39739,7"
01-06-2020,"38182,5"
01-07-2020,"39677,1"
01-08-2020,41748
01-09-2020,"40788,2"
01-10-2020,"42280,7"
01-11-2020,"41033,2"
01-12-2020,"42539,5"
