date,value
2013-01-01,19865
2013-01-02,18048
2013-01-03,20109
2013-01-04,21031
2013-01-05,20336
2013-01-06,18803
2013-01-07,19139
2013-01-08,18631
2013-01-09,20008
2013-01-10,19985
2013-01-11,19338
2013-01-12,19635
2014-01-01,19061
2014-01-02,17348
2014-01-03,18925.9
2014-01-04,19720.8
2014-01-05,19119
2014-01-06,17820.9
2014-01-07,18313.8
2014-01-08,17982
2014-01-09,19401.7
2014-01-10,19340
2014-01-11,18161
2014-01-12,16336
2015-01-01,20476.7
2015-01-02,18274.6
2015-01-03,20528.5
2015-01-04,20211
2015-01-05,20373.9
2015-01-06,19692
2015-01-07,19774
2015-01-08,19952
2015-01-09,20097
2015-01-10,21613
2015-01-11,20070.9
2015-01-12,20243.8
2016-01-01,20920
2016-01-02,19987.7
2016-01-03,21824.2
2016-01-04,22389.3
2016-01-05,22046.9
2016-01-06,20614.549
2016-01-07,20767.6
2016-01-08,19426.2
2016-01-09,21088
2016-01-10,22312.7
2016-01-11,21083.965
2016-01-12,21211.5
2017-01-01,21960.4
2017-01-02,19417.6
2017-01-03,21841.2
2017-01-04,22896.2
2017-01-05,23143.5
2017-01-06,20995.4
2017-01-07,21389.2
2017-01-08,21214
2017-01-09,19975.2
2017-01-10,22609.5
2017-01-11,20820.7
2017-01-12,20662.8
2018-01-01,21311.3
2018-01-02,19266.4
2018-01-03,21148.1
2018-01-04,21329.6
2018-01-05,21388.9
2018-01-06,20161.3
2018-01-07,21532.5
2018-01-08,22058.2
2018-01-09,21125.4
2018-01-10,23332.6
2018-01-11,21820.6
2018-01-12,23029.6
2019-01-01,22077.3
2019-01-02,20637.1
2019-01-03,22810.5
2019-01-04,22283.5
2019-01-05,21253.6
2019-01-06,21423.5
2019-01-07,23025.9
2019-01-08,23516.6
2019-01-09,22451
2019-01-10,23834.7
2019-01-11,20845.8
2019-01-12,21936.7
2020-01-01,21699.1
2020-01-02,20879.2
2020-01-03,21511.1
2020-01-04,22263.5
2020-01-05,18435.5
2020-01-06,18158.2
2020-01-07,17204.5
2020-01-08,17952.9
2020-01-09,17872.9
2020-01-10,19452.5
2020-01-11,18325.5
2020-01-12,18616.7
