date,value
2013-01-01,10129
2013-01-02,9365
2013-01-03,11689
2013-01-04,11711
2013-01-05,12601
2013-01-06,12100
2013-01-07,12237
2013-01-08,12596
2013-01-09,12066
2013-01-10,12337
2013-01-11,12366
2013-01-12,12403
2014-01-01,12500
2014-01-02,11317
2014-01-03,12615.4
2014-01-04,13117.4
2014-01-05,13653
2014-01-06,13375.8
2014-01-07,13054.9
2014-01-08,13004
2014-01-09,12484.4
2014-01-10,12577
2014-01-11,12318.3
2014-01-12,11863
2015-01-01,11818.6
2015-01-02,11206.2
2015-01-03,12622.1
2015-01-04,11793.2
2015-01-05,12854.6
2015-01-06,12877
2015-01-07,13224
2015-01-08,13273
2015-01-09,13018
2015-01-10,13247
2015-01-11,12694.6
2015-01-12,12787.9
2016-01-01,12217.2
2016-01-02,12030.2
2016-01-03,13095.3
2016-01-04,13494.4
2016-01-05,14298.5
2016-01-06,14280.6
2016-01-07,14205.8
2016-01-08,14363.1
2016-01-09,14182
2016-01-10,14127
2016-01-11,14127.984
2016-01-12,14237.8
2017-01-01,14475.6
2017-01-02,13626.4
2017-01-03,15207.5
2017-01-04,14871.5
2017-01-05,16255.7
2017-01-06,16007.6
2017-01-07,16406.8
2017-01-08,16341
2017-01-09,15631
2017-01-10,16265.8
2017-01-11,14965.1
2017-01-12,14589.5
2018-01-01,14640.7
2018-01-02,14142.1
2018-01-03,15527.1
2018-01-04,15627.1
2018-01-05,17016.4
2018-01-06,16433.5
2018-01-07,16951.4
2018-01-08,17383.8
2018-01-09,15906.7
2018-01-10,15979.2
2018-01-11,15885
2018-01-12,14141.892
2019-01-01,14568.3
2019-01-02,14009
2019-01-03,15489.5
2019-01-04,16635.5
2019-01-05,17867.1
2019-01-06,15322.8
2019-01-07,16786.4
2019-01-08,17036.3
2019-01-09,16078.9
2019-01-10,16709.7
2019-01-11,15614.8
2019-01-12,13705.7
2020-01-01,12541.4
2020-01-02,13089.4
2020-01-03,14539
2020-01-04,15642.8
2020-01-05,16366
2020-01-06,16122.2
2020-01-07,17402.2
2020-01-08,18521.9
2020-01-09,17546.4
2020-01-10,17358.6
2020-01-11,17025.1
2020-01-12,16824.4
